2019-02-26 21:58:00,704 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:12:37,810 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:13:27,090 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:14:42,302 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:15:16,932 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:15:59,539 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:16:37,917 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:16:44,549 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:17:14,076 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:17:34,114 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:18:05,694 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:18:28,382 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:18:43,465 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:19:10,924 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:19:27,970 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:19:53,822 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:20:12,160 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:21:34,552 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:21:50,652 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:22:24,178 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:23:03,923 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:24:23,943 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:25:14,731 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:25:35,117 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:26:33,968 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:26:46,794 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:26:59,598 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:28:14,586 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:28:38,781 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:28:52,395 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:29:03,591 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:29:45,868 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:30:44,677 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:30:55,531 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:32:29,715 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:33:14,072 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:33:23,074 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:33:42,849 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
